0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,8,0,1509,1286,8,9,10,10,23,7,5,5,8,1,0,1513,7,955,3,5,5,4,1613,3,16,595,10,8,10,4,7,1,3,8,773,6,32,4,1635,1391,4,1492,949,4,2,1077,4,3,9,8,6,8,1570,6,15,4,1190,3,4,5,13,3,9,9,4,17,1741,0,1857,24,1267,1344,4,6,5,7,12,2,1,6,799,4,14,1479,6,11,5,2,6,0,955,1281,1127,5,3,5,9,4,3,1091,5,1306,1654,4,0,13,12,3,1254,8,8,676,1148,3,3,1288,1813,1,5,10,7,2,2,9,9,0,9,1586,3,5,0,1765,2,957,3,751,1087,7,0,965,5,4,5,5,9,1557,2,2171,8,13,7,4,0,852,6,7,6,37,5,13,3,1094,18,1472,17,1553,1378,18,14,4,3,1267,5,10,1283,1230,48,1164,2,2,11,3,8,10,26,11,3,13,56,6,7,1359,18,2,1,1534,8,5,3
11,1130,3,0,1533,6,4,3,3,0,804,1125,1,3,5,1548,2,7,3,1013,767,2,1137,645,2,9,2,13,7,14,8,3,3,3,4,5,3,3,0,673,491,0,1186,6,2,0,2,2,1399,1,554,5,13,9,7,3,1656,0,6,4,3,13,2,0,4,3,6,0,7,0,8,10,0,4,2,0,899,3,839,6,3,5,3,0,1,728,9,2,4,0,840,1156,835,2,0,4,10,884,1081,775,3,3,582,2,1214,7,8,0,5,5,1184,4,0,777,830,1491,13,2,6,3,5,5,1350,1121,4,1784,1,7,0,4,5,6,0,3,0,1023,5,0,1639,3,36,4,3,4,8,643,2,3,4,1939,3,7,4,758,3,3,18,5,563,1073,0,8,4,14,4,1,1137,6,2,3,5,18,1267,7,1353,0,2,2,4,5,5,3,2,5,6,627,5,1138,12,5,711,16,0,5,3,3,3,1,4,470
0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,485,0,0,0,0,0,0,0,0,0,314,0,2,0,320,0,0,0,0,0,0,0,0,0,0,0,403,0,0,2,318,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,536,4,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,115,0,0,2,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8815,11194,519,10339,9150,11113,108,10263,1377,8526,210,9745,4816,509,11153,8019,9355,8934,1140,14271,10219,9957,9932,8748,8371,6943,10428,474,154,8530,376,10391,1592,156,10859,11284,9932,11323,1258,9481,8562,10122,13739,10199,9358,295,859,7854,424,8930,1053,7750,9719,10422,9506,7724,229,71,725,375,10615,10353,8986,8476,333,10894,10955,8628,10442,196,8124,11385,10864,228,6920,293,444,11488,7269,10049,8594,9539,9451,9427,8958,108,12702,10096,8573,12418,9965,10777,598,829,12242,8964,804,9796,1537,10427,14437,24,237,10739,11420,973,64,9951,308,570,11624,219,1444,12167,13324,12241,10993,13121,12254,213,12230,14848,12479,174,14052,13505,12454,10889,13621,1469,10222,12344,15552,11253,11256,497,12290,12249,12554,12943,1838,12424,934,611,175,11675,1859,817,723,15328,13446,13524,12789,11820,10477,11017,1389,1596,13306,13449,12112,10580,12806,12153,11457,9889,14316,13565,9440,13372,13760,504,13499,11040,200,11658,328,13219,13277,213,12010,147,12370,10095,12620,14918,13052,10940,14459,13829,14403,13461,10869,10692,14241,1629,416,10294,12290,273
0,0,0,0,2,0,0,0,0,0,525,2,0,0,0,0,0,0,0,363,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,172,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,402,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,126,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0
25483,26649,26009,25427,25521,24905,34674,25116,30560,19629,26331,22033,22027,30849,24464,19649,26373,23545,27580,23192,22971,24576,27085,238,22562,28317,580,23621,168,26656,26433,23523,20794,27682,28765,25107,26780,27157,781,21415,23533,23224,22285,22281,23403,27229,28692,26474,26380,27805,24012,22445,28497,26343,27923,22428,26324,1085,23203,25313,22117,22929,26496,18770,20975,26544,24853,30952,25030,27333,22373,30156,1547,22681,1564,23798,1675,23804,26020,25703,22987,23607,23241,25148,19808,464,20025,24547,24008,24456,28844,23599,24761,24164,26096,32514,1903,26651,14358,28749,31769,821,24986,25682,27677,33129,25026,27818,29247,30845,1189,1437,27861,1201,28970,26268,9257,32109,32630,30975,25892,24067,23984,30563,33520,25343,13434,31883,21906,26939,29829,25771,23645,24280,25401,27929,25064,34300,26728,3039,25687,24159,22703,25619,28332,29098,27038,22349,17737,25307,24048,22906,25389,29703,36844,24283,4670,28465,34597,27468,28581,24906,23298,24522,22807,28121,30366,2362,26821,27493,23014,28428,28611,24064,23884,30125,1801,28814,22333,1115,23534,18874,25979,30262,27158,23785,20517,29454,6136,27935,2906,25428,30654,26577,23274,25082,2292,27626,1492,2644
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157,0,0,0,144,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,1,0,0,103,2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
710,0,0,0,2,1,2,5,0,12,0,3,3,0,0,0,0,2,0,0,0,2,344,0,386,4,0,2,0,0,0,0,0,3,4,621,0,2,0,0,2,677,0,1,1,0,3,2,0,2,5,0,3,2,217,0,0,2,2,615,0,2,760,0,3,2,0,3,0,3,395,2,3,625,2,0,2,0,0,2,2,0,517,0,5,0,0,3,3,3,0,469,0,0,420,4,2,2,0,0,5,3,7,2,0,0,0,0,4,0,0,716,0,0,7,1,0,0,284,0,0,0,3,0,0,0,640,2,0,0,4,4,666,625,3,781,0,2,1,3,0,219,3,2,0,6,0,4,382,2,0,4,2,0,10,588,0,0,0,0,174,0,6,2,182,0,1,0,0,3,3,2,2,0,0,0,0,1,2,0,2,1,0,2,2,3,0,2,234,0,0,2,3,0,0,3,2,0,0,2
